node_id,node_no,layer_no,MRM_gate_flag,node_type,is_boundary,#_of_outgoing_nodes,activity_node_flag,agent_type,zone_id,cell_code,info_zone_flag,x_coord,y_coord
1,0,0,-1,,0,6,0,, -1,,0,-112.116390,33.668640
2,1,0,-1,,0,6,0,, -1,,0,-112.097720,33.669520
3,2,0,-1,,0,6,0,, -1,,0,-112.094300,33.669760
4,3,0,-1,,0,6,0,, -1,,0,-112.100300,33.669440
5,4,0,-1,,0,6,0,, -1,,0,-111.914110,33.655970
6,5,0,-1,,0,6,0,, -1,,0,-111.919000,33.656990
7,6,0,-1,,0,6,0,, -1,,0,-111.988570,33.673020
8,7,0,-1,,0,6,0,, -1,,0,-112.009420,33.672930
9,8,0,-1,,0,6,0,, -1,,0,-111.901500,33.653140
10,9,0,-1,,0,6,0,, -1,,0,-111.931210,33.659320
11,10,0,-1,,0,6,0,, -1,,0,-111.919120,33.656820
12,11,0,-1,,0,6,0,, -1,,0,-112.176600,33.668450
13,12,0,-1,,0,6,0,, -1,,0,-112.180480,33.668440
14,13,0,-1,,0,6,0,, -1,,0,-112.095240,33.669590
15,14,0,-1,,0,6,0,, -1,,0,-112.091510,33.669390
16,15,0,-1,,0,6,0,, -1,,0,-111.964570,33.670130
17,16,0,-1,,0,6,0,, -1,,0,-111.970890,33.672590
18,17,0,-1,,0,6,0,, -1,,0,-111.931140,33.659510
19,18,0,-1,,0,6,0,, -1,,0,-111.954010,33.665190
20,19,0,-1,,0,6,0,, -1,,0,-111.897870,33.651100
21,20,0,-1,,0,6,0,, -1,,0,-111.890720,33.641300
22,21,0,-1,,0,6,0,, -1,,0,-112.140100,33.669740
23,22,0,-1,,0,6,0,, -1,,0,-112.162880,33.669510
24,23,0,-1,,0,6,0,, -1,,0,-111.890450,33.638080
25,24,0,-1,,0,0,0,, -1,,0,-111.890560,33.629600
26,25,0,-1,,0,6,0,, -1,,0,-112.209830,33.667780
27,26,0,-1,,0,6,0,, -1,,0,-112.213840,33.667790
28,27,0,-1,,0,6,0,, -1,,0,-112.038330,33.670090
29,28,0,-1,,0,6,0,, -1,,0,-112.059120,33.669170
30,29,0,-1,,0,6,0,, -1,,0,-112.023790,33.672830
31,30,0,-1,,0,6,0,, -1,,0,-112.192940,33.668370
32,31,0,-1,,0,6,0,, -1,,0,-112.196710,33.668320
33,32,0,-1,,0,6,0,, -1,,0,-112.193230,33.668190
34,33,0,-1,,0,6,0,, -1,,0,-112.180510,33.668260
35,34,0,-1,,0,6,0,, -1,,0,-111.983840,33.672830
36,35,0,-1,,0,6,0,, -1,,0,-111.970870,33.672370
37,36,0,-1,,0,6,0,, -1,,0,-112.037370,33.670200
38,37,0,-1,,0,6,0,, -1,,0,-112.023060,33.672650
39,38,0,-1,,0,6,0,, -1,,0,-112.209500,33.667610
40,39,0,-1,,0,6,0,, -1,,0,-112.196490,33.668150
41,40,0,-1,,0,6,0,, -1,,0,-112.072750,33.668760
42,41,0,-1,,0,6,0,, -1,,0,-112.058490,33.668980
43,42,0,-1,,0,6,0,, -1,,0,-112.126780,33.668860
44,43,0,-1,,0,6,0,, -1,,0,-112.134670,33.669280
45,44,0,-1,,0,6,0,, -1,,0,-112.214540,33.667630
46,45,0,-1,,0,6,0,, -1,,0,-112.213850,33.667600
47,46,0,-1,,0,6,0,, -1,,0,-112.090070,33.669210
48,47,0,-1,,0,6,0,, -1,,0,-112.077130,33.668710
49,48,0,-1,,0,6,0,, -1,,0,-112.116400,33.668830
50,49,0,-1,,0,6,0,, -1,,0,-112.116960,33.668830
51,50,0,-1,,0,6,0,, -1,,0,-112.127320,33.668640
52,51,0,-1,,0,6,0,, -1,,0,-112.116970,33.668650
53,52,0,-1,,0,6,0,, -1,,0,-112.140140,33.669540
54,53,0,-1,,0,6,0,, -1,,0,-112.134670,33.669090
55,54,0,-1,,0,6,0,, -1,,0,-111.965040,33.670090
56,55,0,-1,,0,6,0,, -1,,0,-111.954590,33.665210
57,56,0,-1,,0,6,0,, -1,,0,-112.176600,33.668280
58,57,0,-1,,0,6,0,, -1,,0,-112.161000,33.669350
59,58,0,-1,,0,6,0,, -1,,0,-112.089680,33.669370
60,59,0,-1,,0,6,0,, -1,,0,-112.092450,33.669660
61,60,0,-1,,0,6,0,, -1,,0,-112.072660,33.668970
62,61,0,-1,,0,6,0,, -1,,0,-112.076230,33.668920
63,62,0,-1,,0,6,0,, -1,,0,-111.891290,33.617790
64,63,0,-1,,0,6,0,, -1,,0,-111.890240,33.629600
65,64,0,-1,,0,6,0,, -1,,0,-111.890200,33.636860
66,65,0,-1,,0,6,0,, -1,,0,-111.890290,33.640610
67,66,0,-1,,0,6,0,, -1,,0,-112.006830,33.672650
68,67,0,-1,,0,6,0,, -1,,0,-111.914230,33.655800
69,68,0,-1,,0,6,0,, -1,,0,-111.983790,33.673060
70,69,0,-1,,0,6,0,, -1,,0,-111.896360,33.650360
71,70,0,-1,,0,0,0,, -1,,0,-112.214550,33.667800
72,71,0,-1,,0,6,0,, -1,,0,-111.988560,33.672800
73,72,0,-1,,0,6,0,, -1,,0,-111.901670,33.652950
74,73,0,-1,,0,6,0,, -1,,0,-112.226420,33.666380
75,74,0,-1,,0,0,0,, -1,,0,-111.914110,33.655970
76,75,0,-1,,0,0,0,, -1,,0,-111.890720,33.641300
77,76,0,-1,,0,0,0,, -1,,0,-112.059120,33.669170
78,77,0,-1,,0,0,0,, -1,,0,-112.180510,33.668260
79,78,0,-1,,0,0,0,, -1,,0,-111.970870,33.672370
80,79,0,-1,,0,0,0,, -1,,0,-112.134670,33.669280
81,80,0,-1,,0,0,0,, -1,,0,-112.077130,33.668710
82,81,0,-1,,0,0,0,, -1,,0,-111.890240,33.629600
83,82,0,-1,,0,0,0,, -1,,0,-112.126780,33.668860
84,83,0,-1,,0,0,0,, -1,,0,-112.192940,33.668370
85,84,0,-1,,0,0,0,, -1,,0,-112.176600,33.668450
86,85,0,-1,,0,0,0,, -1,,0,-111.964570,33.670130
87,86,0,-1,,0,0,0,, -1,,0,-111.896360,33.650360
88,87,0,-1,,0,0,0,, -1,,0,-112.089680,33.669370
89,88,0,-1,,0,0,0,, -1,,0,-111.901670,33.652950
90,89,0,-1,,0,0,0,, -1,,0,-111.931140,33.659510
91,90,0,-1,,0,0,0,, -1,,0,-112.214540,33.667630
